"Ürün Adı","Ürün Kodu","Fiyat","CAS Numarası","Marka"
"MAC CONkey AGAR W/O NACL AND CV","40167112","99,45","","Sinanson Biolife"
"MAC CONKEY AGAR N. 2","4016732","91,80","","Sinanson Biolife"
"MAC CONKEY BROTH (PURPLE)","4016752","122,40","","Sinanson Biolife"
"MAC CONKEY BROTH EP","4016792","142,80","","Sinanson Biolife"
"MAC CONKEY SORBITOL AGAR","401669S2","100,22","","Sinanson Biolife"
"Cefixime Tellurite 0157 Supplement","42ISEC","140,25","","Sinanson Biolife"
"MAC CONKEY SORBITOL MUG AGAR","4016692","118,58","","Sinanson Biolife"
"MALONATE BROTH","4016852","368,22","","Sinanson Biolife"
"MALT AGAR","4016452","79,05","","Sinanson Biolife"
"MALT EXTRACT AGAR","4016552","94,35","","Sinanson Biolife"
"MALT EXTRACT BROTH","4016602","84,15","","Sinanson Biolife"
"MANNITOL SALT AGAR","4016652","38,25","","Sinanson Biolife"
"MANNITOL SALT AGAR","4016654","336,60","","Sinanson Biolife"
"MANNITOL SALT BROTH","4016662","39,53","","Sinanson Biolife"
"MAXIMUM RECOVERY DILUENT","4016912","36,47","","Sinanson Biolife"
"MAXIMUM RECOVERY DILUENT","4016914","236,90","","Sinanson Biolife"
"MEAT LIVER SR AGAR","4016892","90,53","","Sinanson Biolife"
"MICROBIAL CONTENT TEST AGAR (TSA + LECITHIN + TWEEN 80)","4016992","78,80","","Sinanson Biolife"
"MINERALS MODIFIED GLUTAMATE MEDIUM","4017372","49,47","","Sinanson Biolife"
"SODIUM GLUTAMATE","4123642","40,55","","Sinanson Biolife"
"MODIFIED LAURYL SULFATE TRYPTOSE (mLST) BROTH BASE","4014762","66,56","","Sinanson Biolife"
"Vancomycin Antimicrobic Supplement","4240057","105,83","","Sinanson Biolife"
"MOPS-BUFFERED LISTERIA ENRICHMENT BROTH (MOPS-BLEB)","401601M2","135,15","","Sinanson Biolife"
"MOPS-BUFFERED LISTERIA ENRICHMENT BROTH (MOPS-BLEB)","401601M4","928,20","","Sinanson Biolife"
"MOTILTY MEDIUM","4017142","124,44","","Sinanson Biolife"
"MOTILITY NITRATE CP MEDIUM","4017262","163,97","","Sinanson Biolife"
"MRS AGAR ISO FORMULATION","401728S2","57,63","","Sinanson Biolife"
"MRS AGAR WITH TWEEN 80","4017282","59,93","","Sinanson Biolife"
"MRS BROTH WITH TWEEN 80","4017292","52,02","","Sinanson Biolife"
"MRS BROTH WITH TWEEN 80","4017294","459,00","","Sinanson Biolife"
"MRVP MEDIUM","4017352","58,65","","Sinanson Biolife"
"MSE AGAR","4017382","50,49","","Sinanson Biolife"
"MUELLER HINTON AGAR II","4017402","97,41","","Sinanson Biolife"
"MUELLER HINTON AGAR II","4017404","941,21","","Sinanson Biolife"
"MUELLER HINTON BROTH","4017412","114,75","","Sinanson Biolife"
"MULLER KAUFFMANN TETRATHIONATE BROTH BASE","4017432","61,20","","Sinanson Biolife"
"lodine Solution","421501","33,15","","Sinanson Biolife"
"Brilliant Green 0,1% Solution","421505","25,25","","Sinanson Biolife"
"MULLER KAUFFMANN TETRATHIONATE BROTH BASE ISO FORMULATI","4017452","61,20","","Sinanson Biolife"
"MULLER KAUFFMANN TETRATHIONATE BROTH BASE ISO FORMULATI","4017454","586,50","","Sinanson Biolife"
"Novobiocin MKTT Selective Supplement (20 mg/vial)","4240047","72,68","","Sinanson Biolife"
"NEOMYCIN ASSAY AGAR A 11","4017752","86,70","","Sinanson Biolife"
"NUTRIENT AGAR","4018102","73,95","","Sinanson Biolife"
"NUTRIENT AGAR","4018104","714,00","","Sinanson Biolife"
"NUTRIENT AGAR N° 2","4018132","112,20","","Sinanson Biolife"
"NUTRIENT AGAR N° 3","4018142","71,40","","Sinanson Biolife"
"NUTRIENT AGAR WITH NaCl","4018112","76,50","","Sinanson Biolife"
"NUTRIENT BROTH","4018152","61,20","","Sinanson Biolife"
"NUTRIENT BROTH","4018154","586,50","","Sinanson Biolife"
"NUTRIENT BROTH N° 2","4018122","59,93","","Sinanson Biolife"
"Preston Antimicrobic Supplement II","4240022","226,95","","Sinanson Biolife"
"NUTRIENT BROTH 13 g/L","4018182","56,10","","Sinanson Biolife"
"NUTRIENT BROTH AOAC","4018162","82,62","","Sinanson Biolife"
"NUTRIENT GELATIN","4018202","61,46","","Sinanson Biolife"
"O/F HUGH LEIFSON BASE","4018362","62,73","","Sinanson Biolife"
"OGYE AGAR BASE","4018382","53,55","","Sinanson Biolife"
"Gentamicin Antimicrobic Supplement","4240004","76,25","","Sinanson Biolife"
"Oxytetracycline Antimicrobic Supplement","4240000","62,22","","Sinanson Biolife"
"PEPTONE (TRYPTONE) WATER","4018912","46,67","","Sinanson Biolife"
"PEPTONE (TRYPTONE) WATER","4018914","430,70","","Sinanson Biolife"
"PEPTONE YEAST EXTRACT AGAR","4018952","54,06","","Sinanson Biolife"
"PHARMACOPOEIA DILUENT","4013952","31,37","","Sinanson Biolife"
"PHENOL RED AGAR BASE","4019052","96,14","","Sinanson Biolife"
"PHENOL RED BROTH BASE","4019102","73,95","","Sinanson Biolife"
"PHENYLALANINE AGAR","4019162","175,19","","Sinanson Biolife"
"PLATE COUNT AGAR WITH SKIM MILK","4019182","84,92","","Sinanson Biolife"
"POLYMYXIN BASE AGAR A 9","4019202","115,26","","Sinanson Biolife"
"POLYMYXIN SEED AGAR A 10","4019252","115,52","","Sinanson Biolife"
"POTATO DEXTROSE AGAR","4019352","57,38","","Sinanson Biolife"
"POTATO DEXTROSE AGAR","4019354","535,50","","Sinanson Biolife"
"PPLO AGAR","4019452","109,91","","Sinanson Biolife"
"PPLO ENRICHMENT BROTH","4019502","73,95","","Sinanson Biolife"
"PSEUDOMONAS AGAR F","4019612","94,35","","Sinanson Biolife"
"PSEUDOMONAS AGAR P","4019622","99,45","","Sinanson Biolife"
"PSEUDOMONAS AGAR BASE","4019602","74,72","","Sinanson Biolife"
"CN Pseudomonas Supplement (ISO 16266)","4240046","59,93","","Sinanson Biolife"
"CFC Pseudomonas Supplement (ISO 13720)","4240075","91,29","","Sinanson Biolife"
"PP Pseudomonas Supplement (ISO 11059)","4240048","60,18","","Sinanson Biolife"
"PSEUDOMONAS SELECTIVE AGAR","4019632","75,23","","Sinanson Biolife"
"PSEUDOMONAS SELECTIVE BROTH","4019642","87,98","","Sinanson Biolife"
"PURPLE GLUCOSE AGAR","4019702","68,85","","Sinanson Biolife"
"R2A AGAR","4019962","126,48","","Sinanson Biolife"
"RAPPAPORT VASSILIADIS SALMONELLA ENRICHMENT BROTH EP","4019792","53,55","","Sinanson Biolife"
"RAPPAPORT VASSILIADIS (RV) BROTH","4019802","53,55","","Sinanson Biolife"
"RAPPAPORT VASSILIADIS SEMISOLID MEDIUM BASE MODIFIED (MSRV)","4019822","84,15","","Sinanson Biolife"
"Novobiocin Antimicrobic Supplement (10 mg/vial)","4240045","61,97","","Sinanson Biolife"
"RAPPAPORT VASSILIADIS SOY (RVS) BROTH","4019812","57,38","","Sinanson Biolife"
"ROGOSA BIOS AGAR","4019852","200,43","","Sinanson Biolife"
"ROGOSA BIOS BROTH","4019902","234,86","","Sinanson Biolife"
"ROSE BENGAL AGAR BASE","4019912","75,23","","Sinanson Biolife"
"ROSE BENGAL AGAR WITH CHLORAMPHENICOL","4019922","72,68","","Sinanson Biolife"
"SABOURAUD BROTH","4020002","39,02","","Sinanson Biolife"
"SABOURAUD BROTH","4020004","344,25","","Sinanson Biolife"
"SABOURAUD DEXTROSE AGAR","4020052","40,80","","Sinanson Biolife"
"SABOURAUD DEXTROSE AGAR","4020054","382,50","","Sinanson Biolife"
"SABOURAUD DEXTROSE AGAR W/ CAF 50 mg","4020062","48,45","","Sinanson Biolife"
"SABOURAUD DEXTROSE AGAR W/ CAF 50 mg","4020064","453,90","","Sinanson Biolife"
"SABOURAUD DEXTROSE AGAR W/ CAF 500 mg","4020072","52,02","","Sinanson Biolife"
"SABOURAUD MALTOSE AGAR","4020102","81,60","","Sinanson Biolife"
"SABOURAUD MALTOSE AGAR","4020104","777,75","","Sinanson Biolife"
"SELENITE BROTH","4020252","119,85","","Sinanson Biolife"
"SELENITE BROTH","4020254","1.185,75","","Sinanson Biolife"
"SELENITE BROTH BASE","402025B2","51,00","","Sinanson Biolife"
"Sodium Biselenite","4123651","91,29","","Sinanson Biolife"
"SELENITE CYSTINE BROTH","4020262","118,58","","Sinanson Biolife"
"SELENITE CYSTINE BROTH","4020264","1.185,75","","Sinanson Biolife"
"SELENITE CYSTINE BROTH BASE","402026B2","53,55","","Sinanson Biolife"
"SENECA BASE","405582S2","257,55","","Sinanson Biolife"
"SENECA EE-EC Supplement","4240023","65,54","","Sinanson Biolife"
"SHIGELLA BROTH BASE","4020402","43,35","","Sinanson Biolife"
"SF MEDIUM","4020352","79,05","","Sinanson Biolife"
"SIM AGAR ISO News","4020372","88,23","","Sinanson Biolife"
"SIM BIOS MEDIUM","4020362","88,23","","Sinanson Biolife"
"SIMMONS CITRATE AGAR","4020452","107,87","","Sinanson Biolife"
"SLANETZ BARTLEY AGAR","4020462","79,05","","Sinanson Biolife"
"SLANETZ BARTLEY AGAR","4020464","765,00","","Sinanson Biolife"
"SLANETZ BARTLEY AGAR W/O TTC","4020472","74,97","","Sinanson Biolife"
"SLANETZ BARTLEY AGAR W/O TTC","4020474","698,70","","Sinanson Biolife"
"SPORULATION AGAR AK","4020702","95,37","","Sinanson Biolife"
"SPORULATION BROTH","4020712","113,48","","Sinanson Biolife"
"SS AGAR","4020752","117,30","","Sinanson Biolife"
"SS AGAR","4020754","1.147,50","","Sinanson Biolife"
"STAA AGAR BASE","4020792","121,64","","Sinanson Biolife"
"STAA Selective Supplement","4240052","69,11","","Sinanson Biolife"
"STAPHYLOCOCCI 110 MEDIUM","4020852","49,98","","Sinanson Biolife"
"STREPTOCOCCUS SELECTIVE AGAR","4020872","104,55","","Sinanson Biolife"
"STREPTOCOCCUS SELECTIVE BROTH","4020882","73,95","","Sinanson Biolife"
"STUART TRANSPORT MEDIUM","4020912","237,15","","Sinanson Biolife"
"SUGAR FREE AGAR BASE","4020982","75,99","","Sinanson Biolife"
"Penicillin 500 IU Selective Supplement","4240050","56,87","","Sinanson Biolife"
"SULPHITE POLYMIXIN SULFADIAZINE (SPS) AGAR","4020942","79,31","","Sinanson Biolife"
"TAYLOR LYSINE DECARBOXYLASE BROTH","401367L2","72,68","","Sinanson Biolife"
"TAT Broth Base","4021002","66,05","","Sinanson Biolife"
"Tween 20","42120501","26,78","","Sinanson Biolife"
"TCBS KOBAYASHI AGAR","4021062","81,60","","Sinanson Biolife"
"TETRATHIONATE BROTH BASE","4021252","66,56","","Sinanson Biolife"
"THIOGLYCOLLATE MEDIUM","4021372","79,05","","Sinanson Biolife"
"THIOGLYCOLLATE MEDIUM","4021374","726,75","","Sinanson Biolife"
"THIOGLYCOLLATE MEDIUM ALTERNATIVE","4021352","91,80","","Sinanson Biolife"
"TODD-HEWITT BROTH","4021342","66,05","","Sinanson Biolife"
"TRIPLE SUGAR IRON AGAR U.S.P.","4021412","66,30","","Sinanson Biolife"
"TRIPLE SUGAR IRON AGAR ISO","402141S2","61,20","","Sinanson Biolife"
"TRYPTIC GLUCOSE EXTRACT AGAR","4021442","104,55","","Sinanson Biolife"
"TRYPTIC GLUCOSE YEAST AGAR (STANDARD METHODS AGAR) (PLA)","4021452","66,30","","Sinanson Biolife"
"TRYPTIC GLUCOSE YEAST AGAR (STANDARD METHODS AGAR) (PLA)","4021454","637,50","","Sinanson Biolife"
"m-TRYPTIC GLUCOSE YEAST BROTH","4021462","79,05","","Sinanson Biolife"
"TRYPTIC SOY AGAR","4021502","66,30","","Sinanson Biolife"
"TRYPTIC SOY AGAR","4021504","629,85","","Sinanson Biolife"
"TRYPTIC SOY BLOOD AGAR BASE","4021512","78,54","","Sinanson Biolife"
"TRYPTIC SOY BLOOD AGAR BASE","4021514","739,50","","Sinanson Biolife"
"TRYPTIC SOY BROTH","4021552","45,65","","Sinanson Biolife"
"TRYPTIC SOY BROTH","4021554","408,00","","Sinanson Biolife"
"TRYPTIC SOY BROTH MODIFIED (mTSB)","402155M2","91,80","","Sinanson Biolife"
"Novobiocin Antimicrobic Supplement (10 mg/vial)","4240045","61,97","","Sinanson Biolife"
"TRYPTIC SOY BROTH NaCl 10%","40215512","49,47","","Sinanson Biolife"
"TRYPTIC SOY BROTH - Y IRRADIATED","402155G2","49,22","","Sinanson Biolife"
"TRYPTIC SOY BROTH - Y IRRADIATED","402155G4","510,00","","Sinanson Biolife"
"TRYPTIC SOY YEAST EXTRACT AGAR (TSYEA)","4021662","79,05","","Sinanson Biolife"
"TRYPTIC SOY YEAST EXTRACT BROTH (TSYEB)","4021672","76,50","","Sinanson Biolife"
"TRYPTONE BILE AGAR","4021532","114,75","","Sinanson Biolife"
"TRYPTONE BILE X-GLUC AGAR (TBX)","4021562","236,90","","Sinanson Biolife"
"TRYPTOSE (BIOTONE) AGAR","4011452","72,42","","Sinanson Biolife"
"TRYPTOSE (BIOTONE) BROTH","4011462","54,83","","Sinanson Biolife"
"TRYPTOSE (BIOTONE) BROTH","4011464","507,45","","Sinanson Biolife"
"TRYPTONE SULFITE NEOMYCIN (TSN) AGAR","4021592","96,90","","Sinanson Biolife"
"TRYPTONE TRYPTOPHAN MEDIUM","4021652","148,41","","Sinanson Biolife"
"TRYPTOSE AGAR","4011452","72,42","","Sinanson Biolife"
"TRYPTOSE BROTH","4011462","54,83","","Sinanson Biolife"
"TRYPTOSE BROTH","4011464","507,45","","Sinanson Biolife"
"TRYPTOSE PHOSPHATE BROTH","4011502","68,85","","Sinanson Biolife"
"TSC AGAR BASE","4021582","71,40","","Sinanson Biolife"
"D-Cycloserine Antimicrobic Supplement","4240002","114,75","","Sinanson Biolife"
"D-Cycloserine 4-MUP Supplement","4240049","346,80","","Sinanson Biolife"
"TTC TERGITOL 7 AGAR BASE","402160T2","67,83","","Sinanson Biolife"
"TTC 0.05% Solution","421510","31,62","","Sinanson Biolife"
"UREA AGAR BASE-CHRISTENSEN","4021752","80,07","","Sinanson Biolife"
"Urea 40% Solution","42211601","42,08","","Sinanson Biolife"
"UREA BROTH BASE - STUART","4021802","45,65","","Sinanson Biolife"
"VEGETABLE PEPTONE BROTH","4030012","66,30","","Sinanson Biolife"
"VEGETABLE PEPTONE BROTH","4030014","637,50","","Sinanson Biolife"
"VEGETABLE PEPTONE BROTH IRRADIATED","403001G2","75,99","","Sinanson Biolife"
"VEGETABLE PEPTONE BROTH IRRADIATED","403001G4","816,00","","Sinanson Biolife"
"VERA CTSA MEDIUM","4021832","101,75","","Sinanson Biolife"
"VIOLET RED BILE AGAR (VRBL)","4021852","75,23","","Sinanson Biolife"
"VIOLET RED BILE AGAR (VRBL)","4021854","714,00","","Sinanson Biolife"
"VIOLET RED BILE AGAR MUG","4021862","107,10","","Sinanson Biolife"
"VIOLET RED BILE GLUCOSE AGAR (VRBG)","4021882","71,40","","Sinanson Biolife"
"VIOLET RED BILE GLUCOSE AGAR (VRBG)","4021884","688,50","","Sinanson Biolife"
"VIOLET RED BILE GLUCOSE AGAR (VRBGA) EP","4021892","73,70","","Sinanson Biolife"
"VOGEL-JOHNSON AGAR","4021922","90,53","","Sinanson Biolife"
"WL NUTRIENT MEDIUM","4021952","56,10","","Sinanson Biolife"
"WORT AGAR BASE","4022032","79,05","","Sinanson Biolife"
"WORT AGAR BASE","4022034","765,00","","Sinanson Biolife"
"WORT BROTH","4022022","98,94","","Sinanson Biolife"
"XLD AGAR","4022062","100,73","","Sinanson Biolife"
"XLD AGAR","4022064","994,50","","Sinanson Biolife"
"XLD AGAR ISO FORMULATION","4022082","100,73","","Sinanson Biolife"
"XLD AGAR ISO FORMULATION","4022084","994,50","","Sinanson Biolife"
"XLT4 AGAR BASE","4022072","69,87","","Sinanson Biolife"
"XLT4 Supplement","4240097","70,13","","Sinanson Biolife"
"YEAST EXTRACT AGAR","4022752","93,08","","Sinanson Biolife"
"YEAST NITROGEN BASE","4022552","84,66","","Sinanson Biolife"
"YERSINIA ITC BROTH BASE","4022652","99,45","","Sinanson Biolife"
"Potassium Chlorate Supplement","4240065","57,89","","Sinanson Biolife"
"Ticarcillin Irgasan Antimicrobic Supplement","4240060","58,65","","Sinanson Biolife"
"YERSINIA PSB BROTH","4022702","102,77","","Sinanson Biolife"
"CHROMOGENIC BACILLUS CEREUS AGAR BASE","4080202","156,32","","Sinanson Biolife"
"Bacillus Cereus Chromogenic Selective Supplement","4240090","40,80","","Sinanson Biolife"
"CHROMALBICANS AGAR","4080002","351,14","","Sinanson Biolife"
"CHROMALBICANS AGAR","548000","26,01","","Sinanson Biolife"
"CHROMOGENIC CANDIDA AGAR","4080052","465,89","","Sinanson Biolife"
"CHROMOGENIC CANDIDA AGAR","548005","32,90","","Sinanson Biolife"
"SENECA BASE","405582S2","257,55","","Sinanson Biolife"
"SENECA EE-EC Supplement","4240023","65,54","","Sinanson Biolife"
"CHROMOGENIC CRONOBACTER ISOLATION (CCI) AGAR","4080302","383,78","","Sinanson Biolife"
"CHROMOGENIC CRONOBACTER ISOLATION (CCI) AGAR","548030","31,88","","Sinanson Biolife"
"CRONOBACTER SCREENING BROTH BASE","4013552","56,61","","Sinanson Biolife"
"Vancomycin CSB Supplement","4240057C","54,57","","Sinanson Biolife"
"MODIFIED LAURYL SULFATE TRYPTOSE (mLST) BROTH BASE","4014762","66,56","","Sinanson Biolife"
"MODIFIED LAURYL SULFATE TRYPTOSE (mLST) BROTH BASE","5514762","28,82","","Sinanson Biolife"
"ENTEROBACTER SAKAZAKII ISOLATION AGAR (ESIA)","4014782","293,25","","Sinanson Biolife"
"ENTEROBACTER SAKAZAKII ISOLATION AGAR (ESIA)","541478","25,50","","Sinanson Biolife"
"E.C.O.A.GAR (ENTEROCOCCUS CHROMOGENIC OTTAVIANI & AGOSTI AGAR)","4014302","421,52","","Sinanson Biolife"
"KANAMYCIN SELECTIVE SUPPLEMENT","4240055","60,44","","Sinanson Biolife"
"EC X-GLUC AGAR (CHROMOGENIC E.COLI)","4019682","221,09","","Sinanson Biolife"
"EC X-GLUC AGAR (CHROMOGENIC E.COLI)","5119672","38,25","","Sinanson Biolife"
"EC X-GLUC AGAR (CHROMOGENIC E.COLI)","497102","39,27","","Sinanson Biolife"
"TRYPTONE BILE X-GLUC AGAR (TBX)","4021562","236,90","","Sinanson Biolife"
"TRYPTONE BILE X-GLUC AGAR (TBX)","5121562","33,15","","Sinanson Biolife"
"TRYPTONE BILE X-GLUC AGAR (TBX)","5121563","45,90","","Sinanson Biolife"
"TRYPTONE BILE X-GLUC AGAR (TBX)","542156","22,44","","Sinanson Biolife"
"TRYPTONE BILE X-GLUC AGAR (TBX)","492156","36,72","","Sinanson Biolife"
"CHROMOGENIC E.COLI 0157 AGAR","4055812","675,75","","Sinanson Biolife"
"CHROMOGENIC COLIFORM AGAR ISO FORMULATION","4012972","494,70","","Sinanson Biolife"
"CHROMOGENIC COLIFORM AGAR ISO FORMULATION","491297","39,02","","Sinanson Biolife"
"C-EC AGAR","4012982","317,48","","Sinanson Biolife"
"C-EC AGAR","5112982","33,15","","Sinanson Biolife"
"C-EC AGAR","497101","36,21","","Sinanson Biolife"
"CHROMOGENIC LACTOBACILLUS ACIDOPHILUS AGAR (CLAA)","4015682","68,85","","Sinanson Biolife"
"CHROMOGENIC LACTOBACILLUS ACIDOPHILUS AGAR (CLAA)","4015684","362,10","","Sinanson Biolife"
"AGAR LISTERIA ACC. TO OTTAVIANI & AGOSTI (ALOA)","4016052","166,52","","Sinanson Biolife"
"AGAR LISTERIA ACC. TO OTTAVIANI & AGOSTI (ALOA)","4016054","1.364,25","","Sinanson Biolife"
"ALOA Enrichment-Selective Supplements","423501","85,43","","Sinanson Biolife"
"ALOA-AGAR LISTERIA ACC. TO OTTAVIANI & AGOSTI","541605","36,98","","Sinanson Biolife"
"ALOA - AGAR LISTERIA ACC. TO OTTAVIANI & AGOSTI","501605P","22,19","","Sinanson Biolife"
"CHROMART CRE-ESBL AGAR BASE","4080252","369,75","","Sinanson Biolife"
"CHROMART CRE Supplement","4240082","334,82","","Sinanson Biolife"
"CHROMART ESBL Supplement","4240080","334,82","","Sinanson Biolife"
"CHROMART CRE","548015","54,57","","Sinanson Biolife"
"CHROMART ESBL","548020","39,53","","Sinanson Biolife"
"CHROMOGENIC SALMONELLA AGAR BASE","4053502","441,15","","Sinanson Biolife"
"Salmonella Selective Supplement","4240013","54,83","","Sinanson Biolife"
"CHROMOGENIC SALMONELLA AGAR","545350","30,60","","Sinanson Biolife"
"CHROMOGENIC SALMONELLA AGAR + XLD AGAR","495351","51,00","","Sinanson Biolife"
"CHROMOGENIC STREPTO B AGAR BASE","4080102","448,80","","Sinanson Biolife"
"Strepto B Supplement","4240053","302,43","","Sinanson Biolife"
"Chromogenic Srepto B Agar","548010","35,70","","Sinanson Biolife"
"CHROMOGENIC URINE AGAR IV","409810G2","390,15","","Sinanson Biolife"
"CHROMOGENIC URINE AGAR IV","549810G","28,05","","Sinanson Biolife"
"CHROMOGENIC URINE AGAR IV CLEAR","409810C2","390,15","","Sinanson Biolife"
"CHROMOGENIC YERSINIA AGAR BASE","4080502","433,50","","Sinanson Biolife"
"ACID DIGEST OF CASEIN","4122652","109,65","","Sinanson Biolife"
"AGAR BIOS SPECIAL LL","4110302","105,00","","Sinanson Biolife"
"AGAR BIOS SPECIAL LL","4110304","901,17","","Sinanson Biolife"
"AGAR HIGH GEL STRENGTH","4110312","91,80","","Sinanson Biolife"
"AGAR TECHNICAL","40110252","95,00","","Sinanson Biolife"
"AGAR TECHNICAL","40110254","772,40","","Sinanson Biolife"
"AGAR HIGHLY PURIFIED","4110351","41,82","","Sinanson Biolife"
"AGAR HIGHLY PURIFIED","4110352","175,19","","Sinanson Biolife"
"AGAROSE","4110381","132,60","","Sinanson Biolife"
"AGAROSE","4110382","606,90","","Sinanson Biolife"
"BEEF EXTRACT POWDER","4111252","90,00","","Sinanson Biolife"
"BEEF EXTRACT POWDER","4111254","789,48","","Sinanson Biolife"
"BILE SALTS","41113011","91,80","","Sinanson Biolife"
"BILE SALTS","41113012","446,25","","Sinanson Biolife"
"BILE SALTS N°3","41113022","573,75","","Sinanson Biolife"
"GELATIN BIOS","4115152","140,00","","Sinanson Biolife"
"GELATIN PEPTONE","4115182","160,00","","Sinanson Biolife"
"LECITHIN","41EAT0242","50,00","","Sinanson Biolife"
"LIVER EXTRACT","41228012","90,02","","Sinanson Biolife"
"MALT EXTRACT","4116502","67,00","","Sinanson Biolife"
"MYCOLOGICAL PEPTONE","4117102","153,00","","Sinanson Biolife"
"PEPTOCOMPLEX","4123102","67,07","","Sinanson Biolife"
"PEPTONE BACTERIOLOGICAL","4122592","75,00","","Sinanson Biolife"
"PEPTONE BACTERIOLOGICAL","4122594","631,38","","Sinanson Biolife"
"PEPTONISED MILK","4122982","79,05","","Sinanson Biolife"
"PROTEOSE PEPTONE","4123302","116,28","","Sinanson Biolife"
"SKIM MILK","4120402","65,00","","Sinanson Biolife"
"SODIUM BISELENITE","4123651","91,29","","Sinanson Biolife"
"SODIUM CHLORIDE","4123582","24,74","","Sinanson Biolife"
"SODIUM DESOXYCHOLATE","4123602","586,50","","Sinanson Biolife"
"SODIUM GLUTAMATE","4123642","40,55","","Sinanson Biolife"
"SODIUM PYRUVATE","41BAS0772","54,83","","Sinanson Biolife"
"SOY PEPTONE","4123252","85,94","","Sinanson Biolife"
"TRYPTONE","4122902","75,00","","Sinanson Biolife"
"TRYPTONE","4122904","613,53","","Sinanson Biolife"
"TRYPTOSE","4122602","78,00","","Sinanson Biolife"
"VEGETABLE PEPTONE P","4124002","117,30","","Sinanson Biolife"
"VEGETABLE PEPTONE P","4124004","1.140,62","","Sinanson Biolife"
"YEAST EXTRACT","4122202","60,00","","Sinanson Biolife"
"YEAST EXTRACT","4122204","395,25","","Sinanson Biolife"
"ESCULIN","41BAV0071","242,25","","Sinanson Biolife"
"GLUCOSE","4125012","40,00","","Sinanson Biolife"
"INOSITOL","41BAT0131","108,63","","Sinanson Biolife"
"LACTOSE","4125022","36,00","","Sinanson Biolife"
"MALTOSE","41BAT0172","58,65","","Sinanson Biolife"
"MANNITOL","41BET0192","35,00","","Sinanson Biolife"
"RHAMNOSE","4125051","81,60","","Sinanson Biolife"
"SALICIN","41BAT0310","110,67","","Sinanson Biolife"
"SORBITOL","41EAT0351","45,00","","Sinanson Biolife"
"SUCROSE","4125032","36,00","","Sinanson Biolife"
"XYLOSE","41BAT0271","37,00","","Sinanson Biolife"
"AEROMONAS SELECTIVE SUPPLEMENT (AMPICILLIN)","4240012","58,14","","Sinanson Biolife"
"ALOA ENRICHMENT-SELECTIVE SUPPLEMENTS","423501","85,43","","Sinanson Biolife"
"ALOA ENRICHMENT-SELECTIVE SUPPLEMENTS","423505","81,60","","Sinanson Biolife"
"ALOA ENRICHMENT-SELECTIVE SUPPLEMENTS","42484204","344,25","","Sinanson Biolife"
"BACILLUS CEREUS ANTIMICROBIC SUPPLEMENT","4240001","58,91","","Sinanson Biolife"
"BACILLUS CEREUS CHROMOGENIC SELECTIVE SUPPLEMENT","4240090","40,80","","Sinanson Biolife"
"BCSA SELECTIVE SUPPLEMENT","4240073","76,50","","Sinanson Biolife"
"BIOVITEX-RESTORING FLUID","4240009","34,43","","Sinanson Biolife"
"BIOVITEX-RESTORING FLUID","42185011","43,35","","Sinanson Biolife"
"BOLTON BROTH SELECTIVE SUPPLEMENT","4240025","128,78","","Sinanson Biolife"
"BOLTON CCDA ANTIMICROBIC SUPPLEMENT","4240020","116,03","","Sinanson Biolife"
"BRILLIANT GREEN 0.1% SOLUTION","421505","25,25","","Sinanson Biolife"
"CAMPYLOBACTER GROWTH SUPPLEMENT","4240021","56,87","","Sinanson Biolife"
"CEFIXIME TELLURITE 0157 SUPPLEMENT","42ISEC","140,25","","Sinanson Biolife"
"CEFOPERAZONE SUPPLEMENT","4240014","75,23","","Sinanson Biolife"
"CFC PSEUDOMONAS SUPPLEMENT","4240075","91,29","","Sinanson Biolife"
"CHLORAMPHENICOL ANTIMICROBIC SUPPLEMENT","4240003","59,42","","Sinanson Biolife"
"CHROMART CRE SUPPLEMENT","4240082","334,82","","Sinanson Biolife"
"CHROMART ESBL SUPPLEMENT","4240080","334,82","","Sinanson Biolife"
"CHROMOGENIC YERSINIA SUPPLEMENT","4240095","68,85","","Sinanson Biolife"
"CLOSTRIDIUM BOTULINUM ANTIMICROBIC SUPPLEMENT","4240066","73,44","","Sinanson Biolife"
"CN PSEUDOMONAS SUPPLEMENT","4240046","59,93","","Sinanson Biolife"
"CNA ANTIMICROBIC SUPPLEMENT","4240018","68,34","","Sinanson Biolife"
"COAGULASE PLASMA EDTA","429938","31,88","","Sinanson Biolife"
"COAGULASE PLASMA EDTA","429937","30,86","","Sinanson Biolife"
"COAGULASE PLASMA EDTA","429936","31,88","","Sinanson Biolife"
"m-CP ANTIMICROBIC SUPPLEMENT","4240070","95,63","","Sinanson Biolife"
"m-CP SUPPLEMENT A-Phenophthalein diphosphate","4240070A","68,85","","Sinanson Biolife"
"m-CP SUPPLEMENT B-Ferric chloride hexahydrate","4240070B","22,44","","Sinanson Biolife"
"m-CP SUPPLEMENT C-Indoxyl B-D-glucoside","4240070C","79,56","","Sinanson Biolife"
"CYCLOHEXIMIDE 0.1% SOLUTION","421520","19,13","","Sinanson Biolife"
"D-CYCLOSERINE ANTIMICROBIC SUPPLEMENT","4240002","114,75","","Sinanson Biolife"
"D-CYCLOSERINE 4-MUP SUPPLEMENT","4240049","346,80","","Sinanson Biolife"
"DERMATOPHYTE ANTIMICROBIC SUPPLEMENT","4240024","70,64","","Sinanson Biolife"
